"Running average electives"
"14,954712058046425"
"10,93881843121899"
"8,98680203720797"
"13,91136522970249"
"13,956753214012831"
"18,043800206535604"
"21,387424698451536"
"23,001125819126873"
"34,04024631595251"
"41,49692570104882"
"49,48880370616232"
"55,24511216024279"
"59,97428427098736"
"64,55039417319709"
"67,77540475372787"
"70,19743185906731"
"70,6972309501485"
"72,05962288269251"
"72,95061133112245"
"75,20062877894416"
"76,52397700258548"
"78,27081572138441"
"78,51591847608073"
"116,49972833901671"
"151,15763787234823"
"183,60779754407017"
"213,2674493792896"
"207,49420088949825"
"202,0528061614822"
"197,74676301578387"
"194,58276976491322"
"191,61473736599748"
"189,51894517349805"
"186,523088606782"
"184,45676185367194"
"181,5170688652312"
"178,71633089071935"
"178,16519466213134"
"176,76804724989185"
"175,57762314873816"
"174,2291025962619"
"172,841791593495"
"172,20364279211293"
"171,1834626331758"
"170,7668339268928"
"170,08863985227342"
"169,92660815835762"
"169,30263103718036"
"169,07245273208719"
"168,74941423834275"
"168,92964676186222"
"169,06879751816308"
"186,38857358063882"
"202,86231886486036"
"219,03111466361102"
"234,283292065004"
"248,33157303033337"
"261,8401108666559"
"275,3608517864048"
"288,57109066346845"
"285,591152580678"
"283,0802959093908"
"280,35655495445457"
"277,2765180867241"
"274,50949056146186"
"271,5703561224852"
"269,72738255874515"
"267,71983991713034"
"265,90740894610246"
"264,1044454387867"
"262,65463587954747"
"261,4146463222903"
"260,02877865084116"
"258,68028595944764"
"257,35122393023704"
"256,04208856478544"
"254,37846094246967"
"252,48908496233454"
"250,50900555417067"
"248,66109499552"
"246,68958949565544"
"255,68618690586925"
"264,22039617486115"
"261,35974859118744"
"258,4949515288504"
"256,0368024910033"
"253,62044547206042"
"251,19490767373156"
"248,59906180674713"
"245,8817590398453"
"243,340544131858"
"240,74982616585058"
"238,47405435912495"
"236,1086406536291"
"246,31183262547313"
"256,2755049923554"
"266,129980241133"
"275,33572640331954"
"284,53671869742425"
"293,435594747479"
"302,4296663397838"
"310,8286373515904"
"318,8270801818723"
"326,7365428276559"
"334,46564836267345"
"342,2733983405602"
"349,8742102405667"
"348,38510922060414"
"347,45123868681316"
"346,0555410008379"
"344,71245676406585"
"343,36888410759104"
"342,09195039511593"
"341,07883396375314"
"339,9217332783991"
"338,73488662272143"
"337,24818798958296"
"336,03913915154635"
"334,31371601290726"
"332,66151729448177"
"330,7726461605815"
"328,6928415012115"
"326,42451832700146"
"331,4966567974762"
"329,0752532465707"
"326,6631983777117"
"324,4240478031966"
"322,17426204737257"
"320,05659517757005"
"318,1563580422324"
"316,2578594296064"
"314,515648152251"
"312,75297781150374"
"311,0739877575634"
"309,39532016993945"
"307,5279594669734"
"306,26662654106417"
"304,95913058322805"
"303,3806866193043"
"301,5450520462607"
"299,7899783731938"
"298,2574995707731"
"296,4342568420413"
"294,79804849821426"
"293,0917524946653"
"291,41908832066764"
"289,75610163279174"
"287,99151284959646"
"286,14264617605613"
"284,3847334037941"
"282,83853383879114"
"281,2718534918419"
"279,8718651151788"
"278,47082373378265"
"277,2620106027849"
"276,05689920708716"
"274,84569358529313"
"274,0969215079959"
"273,18607417861153"
"272,4696233315336"
"271,35102477460896"
"270,39961115602875"
"269,6354385474966"
"268,87882945053207"
"268,2669702260148"
"267,5078859771586"
"266,83414003492817"
"266,0879838516702"
"265,0871794067728"
"264,0633407962787"
"263,17702078531545"
"262,29740450270236"
"266,74254857303214"
"270,9324765354494"
"275,2066520145683"
"279,3600065435992"
"283,5608853758427"
"287,6925375115344"
"291,8898278933719"
"290,8392201035479"
"289,53697712679434"
"288,2994037342531"
"286,8826067313569"
"285,5236571565023"
"284,1842249289208"
"282,81906224887064"
"281,37898246736853"
"279,91119098560733"
"278,570447178471"
"277,36751140339527"
"276,00613208617057"
"274,7927942685164"
"273,4892447090401"
"272,3394177252354"
"271,1931314309215"
"269,8911542864705"
"268,54387518979445"
"267,3313076817759"
"266,05676919466794"
"264,77264288689275"
"263,5856057431372"
"262,557027128678"
"261,45069501608526"
"260,3367901183244"
"259,1190348401384"
"258,0568651424093"
"256,87810547541017"
"255,72793837841343"
"260,3461099868241"
"264,8067403481719"
"269,34712254103243"
"273,8379560468932"
"278,39505317062554"
"282,49959330735885"
"286,65186591315864"
"290,8206222552595"
"294,88797101932767"
"298,8909878723276"
"302,69241556570233"
"306,385185501625"
"305,8778892943363"
"305,2339917009235"
"304,94359121551196"
"304,0682858241136"
"303,3222054201667"
"302,52873106244266"
"301,78912911662314"
"301,1820674150535"
"300,5773436622698"
"300,1056192519202"
"299,60996524309934"
"299,19340304127314"
"298,7446892940315"
"298,34684900337095"
"297,8511995922358"
"297,3374070935677"
"296,6831139408076"
"299,86164436283724"
"302,8790715540131"
"305,93540064507505"
"308,92039024377107"
"311,9987949810802"
"314,8548221396443"
"317,76111425072537"
"320,74770245772845"
"323,7067673693737"
"322,5077237288049"
"321,27807782054504"
"320,11186962221507"
"318,9326957375593"
"318,0083584275816"
"317,08472414372983"
"316,26845200493545"
"315,3667893239636"
"314,53983259174004"
"313,78913711365635"
"312,9756155134591"
"312,22653267523"
"311,4106951297553"
"310,7041773363544"
"309,9888546492954"
"309,3054646091145"
"308,61617760977225"
"308,00984204864"
"307,20701343925543"
"309,80365201248264"
"312,35700319040143"
"311,30104687466"
"310,2483257544037"
"309,17762847698106"
"308,14725462203654"
"307,0379969800597"
"306,0304827202489"
"304,9166594491494"
"303,8798859675907"
"302,7810576573379"
"301,90707946300944"
"301,0312488009956"
"300,14981675607453"
"299,26781373330255"
"298,45555066366086"
"297,703118312119"
"296,8985600267912"
"296,17732657585736"
"295,36686295919105"
"294,61666860049985"
"293,79585899066694"
"293,054667073539"
"292,24532102955754"
"291,5353257066242"
"290,73456120367075"
"289,8200205240521"
"288,84915105166533"
"287,92541104053566"
"286,994722809698"
"286,0983387593505"
"285,15907558279804"
"284,30269374127533"
"283,52492703919245"
"282,74149983233525"
"282,18774493171264"
"281,6147957510225"
"280,97373905213175"
"280,3187041244975"
"279,7627916530349"
"279,2812513238918"
"278,6658749443174"
"278,1448971959427"
"277,55011568326495"
"277,053500941577"
"276,5488132730319"
"276,0417867789364"
"275,4843232195251"
"275,0188132466484"
"274,4049979897458"
"276,71582227023106"
"278,99063186379107"
"281,28206486537226"
"280,4702513584398"
"279,7486276773975"
"278,9688542536564"
"278,2732950376634"
"277,43797120396755"
"276,59311889848175"
"275,8370685432014"
"275,0675900947487"
"274,28669234787674"
"273,4981015002128"
"276,3841465823495"
"279,2171279111079"
"282,0354229955471"
"284,82590991066644"
"287,6632032368936"
"290,46091882508057"
"293,103020917368"
"295,7618468796253"
"298,35937480868273"
"301,02716123557144"
"303,50493460721566"
"306,00998336825495"
"305,6135799765456"
"305,1373842748179"
"304,92534702746576"
"304,703349206444"
"304,48795673163426"
"304,13807911278803"
"303,82799009302545"
"303,46762111415217"
"302,9557406998182"
"302,5111057571115"
"302,0624348336366"
"301,6750536145332"
"301,26336727725266"
"300,9269452803169"
"300,559251682242"
"300,1833828349785"
"299,75641790659455"
"301,9278728975152"
"303,9164152249856"
"305,9550135155984"
"307,9813590689983"
"310,0070535019799"
"312,0171539724743"
"311,174866692406"
"310,39879443854517"
"309,63697882586035"
"308,8693916488068"
"308,1495010548534"
"307,3355665284771"
"306,5286813809954"
"305,7656614222768"
"304,9901332101537"
"304,43107043144835"
"303,8153390519623"
"303,2597405024396"
"302,6945732669845"
"302,18599753439025"
"301,7536045210332"
"301,3118982168543"
"300,88940426448767"
"300,42646013873576"
"300,0089995583035"
"299,5923574448926"
"299,25444802896317"
"298,90644145566256"
"298,5052801312825"
"298,07826059731417"
"299,9315695577791"
"301,65796378982526"
"300,9441211839095"
"300,2175675057938"
"299,5164792102528"
"298,88211853536626"
"298,1850935978703"
"297,5617639562035"
"296,88996465737193"
"296,2106524078615"
"295,5788293151262"
"294,8785251740212"
"294,4053209352567"
"293,92545251792654"
"293,51371098875364"
"293,1015382719349"
"292,6676055260899"
"292,25569966824975"
"291,8027097922126"
"291,33526814331464"
"290,8571187576397"
"290,45112634417995"
"290,0445840324559"
"289,70655755043106"
"289,36998664140987"
"289,0300966806659"
"288,6769233134909"
"290,55975829331663"
"292,42422905681804"
"294,31501599769865"
"296,1573268542384"
"298,0579043040302"
"299,9477683253456"
"301,87326963948146"
"303,7530221286289"
"305,6109303385761"
"305,23229645721"
"304,8347332576711"
"304,50692922638603"
"304,19364310467745"
"303,8458806281679"
"303,6927932948723"
"303,3056781506686"
"302,74590638268313"
